step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
147,33558,294,0.02148300485097166,0.5,0.5,,,,,,,,,
148,33784,296,0.019668883193832566,0.5,0.5,,,,,,,,,
149,33994,298,0.018346027442348936,1.0,1.0,,,,,,,,,
150,34204,300,0.018529531946819576,0.5,0.5,,,,,,,,,
151,34430,302,0.018382694927633423,0.0,0.0,,,,,,,,,
152,34672,304,0.019086373675171003,0.5,0.5,,,,,,,,,
153,34898,306,0.015898817556760727,0.5,0.5,0.01732322720659009,0.5,0.5,,,,,,
154,35140,308,0.016963155378301207,1.0,1.0,,,,,,,,,
155,35382,310,0.01846219574085341,1.0,1.0,,,,,,,,,
156,35624,312,0.019417696774835014,0.0,0.0,,,,,,,,,
157,35850,314,0.01673114752139526,0.5,0.5,,,,,,,,,
158,36092,316,0.013776940329793878,0.5,0.5,,,,,,,,,
159,36334,318,0.015140629144602217,1.0,1.0,,,,,,,,,
160,36560,320,0.017542248322393133,0.5,0.5,,,,,,,,,
161,36770,322,0.020272149635100052,0.5,0.5,0.015773142490116788,0.5,0.5,,,,,,
162,36996,324,0.011643390654424574,0.5,0.5,,,,,,,,,
163,37222,326,0.017447766065223667,0.5,0.5,,,,,,,,,
164,37448,328,0.01871680945452638,0.5,0.5,,,,,,,,,
165,37690,330,0.012645217489639054,1.0,1.0,,,,,,,,,
166,37932,332,0.015800731472756978,0.5,0.5,,,,,,,,,
167,38158,334,0.020161858009326898,0.5,0.5,,,,,,,,,
168,38384,336,0.015867100313601713,1.0,1.0,,,,,,,,,
169,38626,338,0.01770867280241296,0.0,0.0,0.017002737328084133,0.0,0.0,,,,,,
170,38868,340,0.01865870698666855,0.5,0.5,,,,,,,,,
171,39110,342,0.01756642084300453,0.5,0.5,,,,,,,,,
172,39352,344,0.016452448032803848,0.0,0.0,,,,,,,,,
173,39594,346,0.018368357680528268,1.0,1.0,,,,,,,,,
174,39820,348,0.019628788110379148,0.0,0.0,,,,,,,,,
175,40062,350,0.016830954918435843,1.0,1.0,,,,,,,,,
176,40288,352,0.02086897793234711,0.0,0.0,,,,,,,,,
177,40514,354,0.017942557636728668,0.0,0.0,0.02188114160360091,1.0,1.0,,,,,,
178,40756,356,0.018560836006001794,1.0,1.0,,,,,,,,,
179,40982,358,0.021266560079168346,0.5,0.5,,,,,,,,,
180,41208,360,0.018924855222018887,0.5,0.5,,,,,,,,,
181,41450,362,0.01995220999092695,1.0,1.0,,,,,,,,,
182,41676,364,0.014920014812306145,1.0,1.0,,,,,,,,,
183,41902,366,0.01401988233007635,0.5,0.5,,,,,,,,,
184,42128,368,0.017869630660974415,1.0,1.0,,,,,,,,,
185,42354,370,0.01605269053761501,0.5,0.5,0.020732854692875915,0.0,0.0,,,,,,
186,42580,372,0.014274180019355123,1.0,1.0,,,,,,,,,
187,42790,374,0.01890384815664177,0.5,0.5,,,,,,,,,
188,43016,376,0.014726844770415758,0.0,0.0,,,,,,,,,
189,43258,378,0.02459836343595109,0.0,0.0,,,,,,,,,
190,43484,380,0.020284301447202283,0.0,0.0,,,,,,,,,
191,43694,382,0.017161214734509586,0.5,0.5,,,,,,,,,
192,43920,384,0.02035185106775738,0.5,0.5,,,,,,,,,
193,44146,386,0.018680046865946938,1.0,1.0,0.01844726653332533,0.5,0.5,,,,,,
194,44356,388,0.017167905906096174,0.5,0.5,,,,,,,,,
195,44566,390,0.019545287141337034,0.5,0.5,,,,,,,,,
196,44792,392,0.012451274909496478,0.0,0.0,,,,,,,,,
197,45002,394,0.015493745384863693,1.0,1.0,,,,,,,,,
198,45228,396,0.018614503609564396,0.0,0.0,,,,,,,,,
199,45454,398,0.016912323030625644,1.0,1.0,,,,,,,,,
200,45680,400,0.01806503747447133,0.0,0.0,,,,,,,,,
201,45922,402,0.014101116585156774,0.5,0.5,0.017128774777878875,0.5,0.5,,,,,,
202,46180,404,0.014164094392636864,1.0,1.0,,,,,,,,,
203,46422,406,0.016151577792189575,1.0,1.0,,,,,,,,,
204,46648,408,0.02158269622090948,0.0,0.0,,,,,,,,,
205,46874,410,0.018380124195456673,1.0,1.0,,,,,,,,,
206,47100,412,0.014059430548498128,0.5,0.5,,,,,,,,,
207,47326,414,0.02115860877461979,0.0,0.0,,,,,,,,,
208,47552,416,0.016582957630661144,0.5,0.5,,,,,,,,,
209,47794,418,0.021270109735596395,0.0,0.0,0.017338886537455724,0.0,0.0,,,,,,
210,48020,420,0.016244480642334438,0.0,0.0,,,,,,,,,
211,48230,422,0.016851787227389274,0.5,0.5,,,,,,,,,
212,48456,424,0.01715675902025805,0.5,0.5,,,,,,,,,
213,48666,426,0.016016530186759477,0.5,0.5,,,,,,,,,
214,48908,428,0.01881598194736421,0.0,0.0,,,,,,,,,
215,49150,430,0.016035705004592775,1.0,1.0,,,,,,,,,
216,49376,432,0.01760549306486827,0.5,0.5,,,,,,,,,
217,49602,434,0.019318013600259247,0.0,0.0,0.010975773947153112,1.0,1.0,,,,,,
218,49828,436,0.015345862704723419,0.5,0.5,,,,,,,,,
219,50070,438,0.016742478440729142,0.0,0.0,,,,,,,,,
220,50296,440,0.0175984139399079,0.5,0.5,,,,,,,,,
221,50506,442,0.01815476822731165,0.0,0.0,,,,,,,,,
222,50716,444,0.019342157134061264,0.0,0.0,,,,,,,,,
223,50958,446,0.019319837074556704,0.0,0.0,,,,,,,,,
224,51200,448,0.017242616090253425,0.5,0.5,,,,,,,,,
225,51426,450,0.01705573014393695,0.5,0.5,0.01674975332375036,0.5,0.5,,,,,,
226,51668,452,0.014027892451117241,0.5,0.5,,,,,,,,,
